surface,predictors,auc,pseudo_r2,n
linear,R_D alone,0.566087121604363,0.004977095158888112,4200
linear,R_Y alone,0.5392530461495979,0.003289317671945291,4200
linear,R_D + R_Y,0.5637610023816921,0.010888697949356985,4200
nonlinear,R_D alone,0.6491936728395061,0.03682112353000855,4200
nonlinear,R_Y alone,0.5222923096707819,0.001850853592431534,4200
nonlinear,R_D + R_Y,0.6454240612139919,0.04184161787710572,4200
