estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed
4.021189145981545,0.14566500570713933,3.7356909809877306,4.306687310975359,1,1.0046270768106091,lasso,0.0,linear,1,0.12718796730041504
4.02422164362859,0.10426022951239346,3.8198753487644193,4.228567938492761,1,1.03655797421035,xgboost,0.0,linear,1,0.49532175064086914
4.13122113823432,0.143758352939123,3.849459943996841,4.412982332471799,1,1.0011729222520112,lasso,0.0,linear,2,0.1583690643310547
3.887212657053716,0.12468300609350103,3.6428384556262663,4.131586858481167,1,1.0138931601282706,xgboost,0.0,linear,2,0.41141176223754883
3.9746041713984623,0.13216720797678866,3.7155612038267414,4.233647138970183,1,1.0034682023890966,lasso,0.0,linear,3,0.12637901306152344
3.950722728974145,0.10458654313289982,3.7457368711661165,4.155708586782173,1,1.0624326414404468,xgboost,0.0,linear,3,0.4019021987915039
3.92267759843979,0.13709131552829584,3.6539835574111135,4.191371639468466,1,1.008228756969504,lasso,0.0,linear,4,0.13531708717346191
4.0225920663060695,0.07501202214571626,3.8755712044929447,4.169612928119195,1,1.0543715629998336,xgboost,0.0,linear,4,0.4018080234527588
4.376281117807794,0.19157907017788664,4.000793040067465,4.751769195548124,0,1.0067690953020383,lasso,0.0,linear,5,0.12066316604614258
4.148731363311863,0.11663455663035138,3.9201318329635773,4.377330893660149,1,1.0256326935319253,xgboost,0.0,linear,5,0.400676965713501
3.9510350929701588,0.1278142631520385,3.7005237404816387,4.201546445458678,1,1.005071011478336,lasso,0.0,linear,6,0.12700700759887695
4.0254497689509305,0.12354568682237355,3.7833046723338137,4.267594865568047,1,1.053901638687187,xgboost,0.0,linear,6,0.4033942222595215
3.9263206046711048,0.08974370649728466,3.750426172097294,4.102215037244916,1,1.0128647574037013,lasso,0.0,linear,7,0.12540817260742188
3.9111918827835384,0.1027804313903695,3.7097459389429246,4.112637826624153,1,1.029097258907374,xgboost,0.0,linear,7,0.39541101455688477
3.944533965129131,0.07777039924310629,3.7921067835493414,4.096961146708921,1,1.0040298950224276,lasso,0.0,linear,8,0.13617801666259766
3.9064279159308986,0.09225607902535822,3.7256093236863155,4.087246508175482,1,1.0186180320075708,xgboost,0.0,linear,8,0.39564013481140137
3.8751104297094763,0.16207125005511122,3.5574566166720736,4.192764242746879,1,1.0054845472692127,lasso,0.0,linear,9,0.1190342903137207
3.9139546891012365,0.09881697905122987,3.7202769690997766,4.107632409102696,1,1.0332615906843383,xgboost,0.0,linear,9,0.4243018627166748
3.956561267618079,0.07023789833365235,3.8188975165343346,4.094225018701823,1,1.0046534186685754,lasso,0.0,linear,10,0.13019871711730957
3.951324335393585,0.07374484693247321,3.806787091360518,4.095861579426652,1,1.0220919884732627,xgboost,0.0,linear,10,0.46257615089416504
4.30827791502482,0.205517693672586,3.9054706372408163,4.711085192808824,1,1.0079189952820462,lasso,0.0,linear,11,0.12761998176574707
4.164349169254409,0.11760288049975506,3.9338517589967212,4.394846579512097,1,1.0261506535240055,xgboost,0.0,linear,11,0.40880584716796875
4.162534054119719,0.17387858815813884,3.8217382836470946,4.503329824592344,1,1.0001664208913432,lasso,0.0,linear,12,0.11915707588195801
3.9702065331399847,0.1008586387756816,3.772527233609914,4.167885832670056,1,1.026980192512584,xgboost,0.0,linear,12,0.40933704376220703
4.216418898560463,0.13506806583518752,3.9516903540620114,4.481147443058916,1,1.0017935772851503,lasso,0.0,linear,13,0.1236879825592041
3.9647160134061425,0.13178712989560742,3.70641798518485,4.223014041627435,1,1.0751290251004473,xgboost,0.0,linear,13,0.4165959358215332
4.042540129272635,0.11124048933413555,3.824512776555117,4.260567481990153,1,1.0060059932002927,lasso,0.0,linear,14,0.1208491325378418
4.050015644462531,0.07720756530389078,3.89869159713288,4.201339691792181,1,1.0300045085439522,xgboost,0.0,linear,14,0.40375614166259766
3.9609439798557546,0.22070970051327835,3.5283609158111076,4.393527043900402,1,1.0029949299834764,lasso,0.0,linear,15,0.12323594093322754
3.9400429016711036,0.11439805954834983,3.71582682505507,4.164258978287138,1,1.0599395387359665,xgboost,0.0,linear,15,0.3798549175262451
4.163172311446185,0.1431517180588945,3.8826000997257197,4.443744523166649,1,0.9981376766085345,lasso,0.0,linear,16,0.11990499496459961
3.948925187702397,0.09814951761708297,3.7565556680729353,4.141294707331859,1,1.0234039198490112,xgboost,0.0,linear,16,0.4031691551208496
4.040054987288598,0.13606713077559607,3.7733683114887286,4.306741663088467,1,1.0119615016562777,lasso,0.0,linear,17,0.12024593353271484
3.9975457927914326,0.09869680513462059,3.8041036093384086,4.190987976244457,1,1.0354681947177324,xgboost,0.0,linear,17,0.40173888206481934
3.854331710888004,0.21573761724234453,3.4314937509825216,4.277169670793487,1,0.9979243351066829,lasso,0.0,linear,18,0.11654782295227051
3.9059601354403086,0.10977105231113819,3.690812826365415,4.121107444515202,1,1.0606906727933658,xgboost,0.0,linear,18,0.39992284774780273
3.9275956636328613,0.07573639197239916,3.7791550630479507,4.076036264217772,1,1.0011027323314055,lasso,0.0,linear,19,0.11933398246765137
3.9714720204782625,0.1011454048618855,3.773230669747244,4.169713371209281,1,1.0548410481534471,xgboost,0.0,linear,19,0.4046788215637207
3.969001341149186,0.11574940053618758,3.7421366848661566,4.1958659974322146,1,0.9943254553985472,lasso,0.0,linear,20,0.12812113761901855
3.856822260670343,0.10498255549773619,3.6510602328898023,4.062584288450883,1,1.0148006762246846,xgboost,0.0,linear,20,0.4074690341949463
4.012670153564227,0.12802240506101847,3.7617508504304324,4.263589456698022,1,1.0070378443022967,lasso,0.0,linear,21,0.11991095542907715
4.103842028898633,0.11614886353702289,3.8761944395208108,4.331489618276455,1,1.032835811470755,xgboost,0.0,linear,21,0.3980100154876709
3.9887108099347217,0.07140885679312263,3.8487520224430227,4.128669597426421,1,1.0047982381547131,lasso,0.0,linear,22,0.12836885452270508
4.0168596166002954,0.08498907844918337,3.850284083760647,4.183435149439944,1,1.0307798289109813,xgboost,0.0,linear,22,0.4033029079437256
