estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed
4.051796747525189,0.1444584223511637,3.7686634424534313,4.334930052596946,1,1.0045811518324606,lasso,0.0,linear,1,0.12793397903442383
4.002707382652017,0.10633579639618464,3.7942930514481104,4.211121713855923,1,1.0459394258358157,xgboost,0.0,linear,1,0.40651583671569824
4.135641637888237,0.14373404699729236,3.853928082421357,4.417355193355117,1,1.0015178993849554,lasso,0.0,linear,2,0.12040090560913086
3.9218409418742586,0.12762349062946138,3.6717034966592292,4.171978387089288,1,1.0066032786963306,xgboost,0.0,linear,2,0.39696311950683594
3.969477144167031,0.13131407379758397,3.7121062888605314,4.226847999473531,1,1.005636506946214,lasso,0.0,linear,3,0.12025785446166992
3.890220731078904,0.10674803095677143,3.680998434983065,4.099443027174742,1,1.052995520651131,xgboost,0.0,linear,3,0.40056681632995605
3.9172969025543143,0.13844403733118998,3.645951575510863,4.188642229597765,1,1.0027096940442142,lasso,0.0,linear,4,0.13117194175720215
4.037405093354975,0.07423061238402973,3.891915766531924,4.182894420178026,1,1.0593211616511284,xgboost,0.0,linear,4,0.3942258358001709
4.365630465568552,0.19289036648542454,3.987572294292388,4.743688636844716,1,1.0005714182055654,lasso,0.0,linear,5,0.12293410301208496
4.128988623356901,0.11827523162361722,3.897173429111478,4.360803817602323,1,1.0175243581212265,xgboost,0.0,linear,5,0.3990778923034668
3.9579930005944464,0.12779830858532176,3.70751291848208,4.208473082706813,1,1.0035407253431945,lasso,0.0,linear,6,0.12458515167236328
3.996810931019869,0.12166239905060383,3.758357010607946,4.2352648514317925,1,1.0514194503159537,xgboost,0.0,linear,6,0.3996920585632324
3.942485441337681,0.0898748480919461,3.7663339759614587,4.1186369067139035,1,1.0091903602348038,lasso,0.0,linear,7,0.12292098999023438
3.9275057821687875,0.1010211401665634,3.7295079857651503,4.125503578572425,1,1.0286286846470678,xgboost,0.0,linear,7,0.40056276321411133
4.006563215817969,0.07617965289012205,3.857253839798567,4.155872591837371,1,1.0149323707240823,lasso,0.0,linear,8,0.12370991706848145
3.8562717599514653,0.09142936185656672,3.677073503583114,4.035470016319817,1,1.0348338894039528,xgboost,0.0,linear,8,0.3954610824584961
