estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed
4.043377737024535,0.14510634523674878,3.7589745264322723,4.327780947616798,1,1.0024291233577538,lasso,0.0,linear,1,0.18628883361816406
3.9709010942572807,0.14353262838363512,3.689582312018984,4.252219876495577,1,1.0449006529859404,lasso_logistic,0.0,linear,1,1.7427449226379395
4.117209896258833,0.14320087452996275,3.8365413396254673,4.3978784528922,1,1.0031688613783318,lasso,0.0,linear,2,0.2528078556060791
3.9726237553428576,0.14221664535873493,3.6938842524376314,4.251363258248084,1,1.0534407418771898,lasso_logistic,0.0,linear,2,1.6183300018310547
3.9758254745831834,0.13171130543711448,3.7176760595696843,4.2339748895966824,1,1.0024889814535138,lasso,0.0,linear,3,0.17162704467773438
3.8265273237026523,0.13190821968439662,3.567991963856438,4.085062683548867,1,1.0489183724421451,lasso_logistic,0.0,linear,3,1.392951250076294
3.907078487863212,0.1378851230173337,3.6368286127453633,4.1773283629810605,1,1.000173719905101,lasso,0.0,linear,4,0.17706012725830078
3.886948554242114,0.13361306791108107,3.6250717532724908,4.148825355211737,1,1.0375323388989734,lasso_logistic,0.0,linear,4,1.7691309452056885
4.382471005827719,0.19275967256712553,4.00466898992442,4.7602730217310185,0,1.004525428110148,lasso,0.0,linear,5,0.1708540916442871
4.062752765838141,0.19837896780645128,3.673937133647266,4.451568398029016,1,1.023741510724704,lasso_logistic,0.0,linear,5,1.2415568828582764
3.9350257153256583,0.12796108411483484,3.6842265990378817,4.185824831613434,1,1.0042307200198524,lasso,0.0,linear,6,0.16995000839233398
3.961347835395202,0.12472686957791891,3.7168876631180563,4.205808007672347,1,1.0155447403732716,lasso_logistic,0.0,linear,6,2.0871520042419434
3.949111598566944,0.09085800014315625,3.7710331905790224,4.127190006554865,1,1.006141608918179,lasso,0.0,linear,7,0.16448211669921875
3.9310701588292467,0.08605937142131322,3.762396890311317,4.0997434273471764,1,1.0256104266011972,lasso_logistic,0.0,linear,7,2.2656641006469727
3.988746759539789,0.07889458163182195,3.834116220966063,4.143377298113515,1,1.0075452349574698,lasso,0.0,linear,8,0.16896295547485352
3.84517169200759,0.07676616382412886,3.694712775680996,3.995630608334184,0,1.047110645733335,lasso_logistic,0.0,linear,8,1.3197669982910156
3.8906699488446113,0.16222035644379873,3.572723892655516,4.208616005033707,1,1.0024435600592883,lasso,0.0,linear,9,0.17183399200439453
3.893599916257683,0.15932186132205972,3.581334806116561,4.205865026398805,1,1.0337103905551581,lasso_logistic,0.0,linear,9,1.307844877243042
3.9594263651295676,0.06983632804054665,3.8225496773575713,4.096303052901564,1,1.005071408574834,lasso,0.0,linear,10,0.16297411918640137
3.9306206296893795,0.07139510754993195,3.7906887902191495,4.070552469159609,1,1.0336780619886519,lasso_logistic,0.0,linear,10,1.808622121810913
4.328285476365839,0.20668629093648253,3.9231877900321663,4.733383162699512,1,1.0042125174535925,lasso,0.0,linear,11,0.1583240032196045
3.9701097365918927,0.21082831577369596,3.556893830754211,4.383325642429575,1,1.012154725486287,lasso_logistic,0.0,linear,11,1.4847438335418701
4.202359028553158,0.17330865142448817,3.8626803135519543,4.542037743554361,1,1.0000010183142274,lasso,0.0,linear,12,0.17185616493225098
3.9782023712454357,0.1759039074849155,3.6334370478351357,4.322967694655736,1,1.0124423606838169,lasso_logistic,0.0,linear,12,1.6274268627166748
4.233175966808919,0.1358926073662732,3.966831350605781,4.499520583012058,1,1.003620600580079,lasso,0.0,linear,13,0.17345309257507324
3.978434182639338,0.1407439698340397,3.702581070723429,4.2542872945552475,1,1.0293143507124831,lasso_logistic,0.0,linear,13,1.7766897678375244
4.013277312497862,0.11105235847344518,3.7956186894916777,4.230935935504046,1,1.0088165635270823,lasso,0.0,linear,14,0.21541476249694824
3.9365715253759888,0.11060658690285052,3.7197865985935024,4.153356452158476,1,1.025874560462922,lasso_logistic,0.0,linear,14,1.3843481540679932
3.9345994281064853,0.22186928842364229,3.499743613520617,4.369455242692354,1,1.0035135722563184,lasso,0.0,linear,15,0.16243815422058105
3.8975094387879303,0.2165385108394029,3.473101756276765,4.321917121299095,1,1.0525890545125496,lasso_logistic,0.0,linear,15,1.3790459632873535
4.160866775147217,0.1427091274823934,3.8811620250165904,4.440571525277844,1,1.0009529100974646,lasso,0.0,linear,16,0.16487383842468262
3.9671991426214377,0.14755388733605818,3.677998837663883,4.256399447578993,1,1.02346533363357,lasso_logistic,0.0,linear,16,1.3290822505950928
4.063453528026713,0.13651397621871947,3.7958910512516653,4.331016004801761,1,1.0027620867454898,lasso,0.0,linear,17,0.1700129508972168
3.867051826839295,0.14033617787786787,3.5919979724706668,4.142105681207923,1,1.027516462723405,lasso_logistic,0.0,linear,17,1.9584498405456543
3.753252132410228,0.21538164822888822,3.331111858950732,4.175392405869724,1,1.0069389653342584,lasso,0.0,linear,18,0.15339088439941406
3.9327145575732243,0.2110798682327059,3.519005617975661,4.346423497170788,1,1.0233388667997039,lasso_logistic,0.0,linear,18,1.1553902626037598
3.945848614021096,0.0758457825683659,3.7971936118078427,4.094503616234349,1,1.005013123101809,lasso,0.0,linear,19,0.18612384796142578
3.8676440100720915,0.07371148358190796,3.7231721570045364,4.0121158631396465,1,1.0294128091354742,lasso_logistic,0.0,linear,19,1.8312339782714844
3.928873063970486,0.11663253507035125,3.700277495806993,4.157468632133979,1,1.0008997627823402,lasso,0.0,linear,20,0.18365478515625
