estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
4.043338264996215,0.14591868461035185,3.7573428984884663,4.329333631503963,1,1.0013821598812218,lasso,0.0,linear,1,0.12330794334411621,985
4.0206381342903725,0.10491745730882715,3.8150036966155527,4.226272571965192,1,1.0324314585329475,xgboost,0.0,linear,1,0.39741086959838867,985
4.028602667759137,0.13142483747888867,3.7710147196264856,4.286190615891789,1,1.0153847798469,rf,0.0,linear,1,2.24847412109375,985
4.131878372964711,0.14085417160134833,3.8558092695538435,4.407947476375579,1,1.0050908768333073,lasso,0.0,linear,2,0.12344002723693848,985
3.881320835090119,0.12612228406470458,3.6341257006753676,4.12851596950487,1,1.0211412639129218,xgboost,0.0,linear,2,0.3831050395965576,985
4.030608267228919,0.15867343188591398,3.7196140554291577,4.34160247902868,1,1.0136208665023723,rf,0.0,linear,2,1.077242136001587,985
3.9588548198832934,0.13226237798146043,3.6996253225300073,4.218084317236579,1,1.0066628307594017,lasso,0.0,linear,3,0.11683917045593262,985
3.881644020623959,0.10538409747813257,3.6750949850235606,4.088193056224357,1,1.051728596488618,xgboost,0.0,linear,3,0.38712000846862793,985
3.9417795725790996,0.14325185530813522,3.6610110954566117,4.2225480497015875,1,1.0158599518917986,rf,0.0,linear,3,1.095599889755249,985
3.931647957244899,0.1366229432485834,3.6638719090158154,4.199424005473983,1,1.008240457303273,lasso,0.0,linear,4,0.1186380386352539,985
4.010770338009015,0.07372725059515468,3.866267582163353,4.155273093854678,1,1.0500773532155883,xgboost,0.0,linear,4,0.3826150894165039,985
4.092040164139644,0.08764882129489925,3.920251631114254,4.263828697165033,1,1.0083129676352682,rf,0.0,linear,4,1.1045408248901367,985
4.38497281866505,0.19296032587521508,4.006777529504516,4.763168107825583,0,1.0003418305336866,lasso,0.0,linear,5,0.12049984931945801,985
4.136912428839226,0.11756820348802086,3.906482984275629,4.3673418734028235,1,1.0398736415853806,xgboost,0.0,linear,5,0.3854196071624756,985
4.395672232656003,0.14996622928717318,4.101743824355868,4.689600640956138,0,1.0052767439551045,rf,0.0,linear,5,1.084233045578003,985
3.9354135072931595,0.12688473696432914,3.6867239926552364,4.184103021931083,1,1.0054503611453112,lasso,0.0,linear,6,0.12337398529052734,985
4.026452458100493,0.12555546760594657,3.780368263530752,4.272536652670233,1,1.03922529452127,xgboost,0.0,linear,6,0.3910210132598877,985
4.01288169906343,0.15918119335204195,3.7008922930773216,4.324871105049539,1,1.0088923516449122,rf,0.0,linear,6,1.0977528095245361,985
3.931302572955085,0.08912949862822876,3.756611965683644,4.105993180226526,1,1.002473937331857,lasso,0.0,linear,7,0.12208008766174316,985
3.8815799148304966,0.09927975790035105,3.6869951649519526,4.07616466470904,1,1.0342679481303074,xgboost,0.0,linear,7,0.3853721618652344,985
3.934728905069929,0.13700987235420062,3.666194489729266,4.203263320410592,1,0.9994574557237722,rf,0.0,linear,7,1.117931842803955,985
3.9965815602938104,0.07921978073813943,3.8413136431838977,4.151849477403723,1,1.0025041823640144,lasso,0.0,linear,8,0.12372589111328125,985
3.9379592067738236,0.09464964220063751,3.7524493169109716,4.123469096636676,1,1.010393127517253,xgboost,0.0,linear,8,0.4020562171936035,985
3.9769461915365056,0.1200387835545388,3.7416744990216104,4.212217884051401,1,1.002376733750822,rf,0.0,linear,8,1.1237423419952393,985
3.91202976278876,0.1640776775692192,3.590443424086115,4.233616101491405,1,1.0011046333879694,lasso,0.0,linear,9,0.12059712409973145,985
3.8384394251247365,0.09856104526616855,3.6452633261244243,4.031615524125049,1,1.0444800777803336,xgboost,0.0,linear,9,0.40019798278808594,985
3.8837595438763013,0.14705779735393354,3.595531557416802,4.171987530335801,1,1.0078751121914917,rf,0.0,linear,9,1.118835210800171,985
3.9566224113266104,0.07182184862884818,3.81585417471098,4.09739064794224,1,1.0036632775866927,lasso,0.0,linear,10,0.1232149600982666,985
3.9049525457835226,0.07148153807108157,3.7648513056046737,4.045053785962371,1,1.0388327214300586,xgboost,0.0,linear,10,0.3961031436920166,985
3.996676831505452,0.08840994042391512,3.8233965323992467,4.169957130611657,1,1.0160836974652219,rf,0.0,linear,10,1.1524040699005127,985
4.320464912448625,0.20678957401438272,3.9151647950020556,4.725765029895195,1,1.0069238071852427,lasso,0.0,linear,11,0.12015104293823242,985
4.155521182484715,0.11505751285550868,3.9300126011371637,4.381029763832266,1,1.032814064238033,xgboost,0.0,linear,11,0.38968706130981445,985
4.213266985571576,0.16104690022190865,3.8976208613148193,4.528913109828333,1,1.0064199906238598,rf,0.0,linear,11,1.1363608837127686,985
4.163347270400549,0.17409001987666606,3.822137101374422,4.5045574394266765,1,1.0036458562787505,lasso,0.0,linear,12,0.11924195289611816,985
3.961369002600681,0.09819147860159382,3.7689172409528213,4.1538207642485405,1,1.04003278281307,xgboost,0.0,linear,12,0.3841590881347656,985
3.9658692245043716,0.14299597211228995,3.6856022692299897,4.246136179778754,1,1.001256991559841,rf,0.0,linear,12,1.1115529537200928,985
4.2208630619274885,0.1361286165019096,3.954055876318481,4.487670247536496,1,1.0022708597559886,lasso,0.0,linear,13,0.12703585624694824,985
4.054234147367811,0.13302293985473088,3.7935139761349013,4.314954318600722,1,1.074319709783516,xgboost,0.0,linear,13,0.38905906677246094,985
4.2197884213113275,0.1741593886733099,3.878442291942127,4.561134550680528,1,1.0210793401856284,rf,0.0,linear,13,1.0962729454040527,985
4.007101581412971,0.1116423082777292,3.7882866780377036,4.225916484788238,1,1.0048886220848996,lasso,0.0,linear,14,0.1189429759979248,985
4.013706514739369,0.07575137899950715,3.8652365401210917,4.1621764893576465,1,1.0255853192874989,xgboost,0.0,linear,14,0.38937997817993164,985
4.054331927954573,0.08769311474614662,3.882456581359987,4.226207274549159,1,1.0094004503179979,rf,0.0,linear,14,1.1136000156402588,985
3.9293389544180055,0.22008839838959493,3.4979736201592964,4.360704288676715,1,1.0015012816221547,lasso,0.0,linear,15,0.12153816223144531,985
3.9885842822008315,0.11366636652446115,3.765802297559358,4.211366266842305,1,1.0755079072482177,xgboost,0.0,linear,15,0.38762807846069336,985
4.090431011751814,0.14649667423402987,3.8033028063982193,4.37755921710541,1,1.0263153878516822,rf,0.0,linear,15,1.0969438552856445,985
4.1624544868459665,0.14379676314721107,3.8806180099839964,4.444290963707937,1,0.9983911309205716,lasso,0.0,linear,16,0.11600708961486816,985
3.938592543353867,0.10413973652149451,3.7344824104122476,4.142702676295486,1,1.0263693915946652,xgboost,0.0,linear,16,0.38648390769958496,985
4.078456308463693,0.13815219130167042,3.807682989127131,4.349229627800255,1,1.003728142414055,rf,0.0,linear,16,1.1096937656402588,985
4.065778753258219,0.13719353236162427,3.796884370917605,4.334673135598833,1,1.0055889296032694,lasso,0.0,linear,17,0.12055397033691406,985
3.9835411055824137,0.09950562959069043,3.7885136553256773,4.17856855583915,1,1.0380661601647514,xgboost,0.0,linear,17,0.38987278938293457,985
4.022156666545478,0.12988470894805182,3.7675873148648296,4.276726018226126,1,1.0067032128755642,rf,0.0,linear,17,1.1388051509857178,985
3.8148964584197214,0.21552215229475727,3.3924808020514408,4.237312114788002,1,1.0002127833795393,lasso,0.0,linear,18,0.12009596824645996,985
3.957227473653527,0.10739119441200191,3.746744600349264,4.16771034695779,1,1.055728165603839,xgboost,0.0,linear,18,0.386152982711792,985
3.898131030183887,0.16814342132364465,3.5685759801521995,4.227686080215575,1,1.0166157261408597,rf,0.0,linear,18,1.1029713153839111,985
3.951046027753968,0.07588169090527662,3.802320646493625,4.099771409014311,1,1.0021114997527338,lasso,0.0,linear,19,0.12326908111572266,985
3.964574161806613,0.10087990401092846,3.766853183181335,4.16229514043189,1,1.0450721414004813,xgboost,0.0,linear,19,0.3895549774169922,985
4.106739307037628,0.1415493742377331,3.8293076314974894,4.384170982577768,1,1.0241481002396609,rf,0.0,linear,19,1.1753289699554443,985
