estimate,se,ci_lower,ci_upper,covers,r_d,r_y0,r_y1,r_y_irm_pooled,r_y_combined,r_y0_weighted,r_y1_weighted,r_y0_local,r_y1_local,r_y0_local_05,r_y1_local_05,r_y0_local_08,r_y0_topk,r_y0_local_mse,r_y0_gap,r_y1_gap,r_y0_ifw_mse,n_local_control,n_local_treated,n_local_control_05,n_local_treated_05,r_y0_local_2x,r_y1_local_2x,n_local_control_2x,n_local_treated_2x,thresh_2x_c,thresh_2x_t,propensity_rmse,learner,framework,overlap_strength,complexity,seed,elapsed
3.9987698083987797,0.15649195666202748,3.6920512094710034,4.305488407326556,1,1.0463395227903654,0.5897365112726611,0.6064929554474057,0.5964627015684526,0.6910054521241564,0.586621237421399,0.6046898784460802,,0.5018108581383574,0.48280056991174347,0.6090004339611473,,0.4927460815724547,,0.10693594136091766,-0.0025074785137416677,5.119581223415323,0,46,47,364,0.3899983437375425,0.40605988310819385,10,11,0.5588880760790051,0.24055415617128464,0.49841787559115197,lasso_logistic,IRM,0.0,linear,1,1.3127391338348389
4.0471582445326915,0.13310917700724736,3.7862690515867192,4.308047437478663,1,1.0110435249649241,0.6921548116276708,0.6437456063679003,0.6727229128757861,0.7493990370676384,0.6926466969923584,0.6424064496034423,,,,0.6442282378488713,,0.5667247935071656,,,-0.0004826314809709409,3.7363922096946807,0,5,4,379,,,0,1,0.5588880760790051,0.24055415617128464,0.4899356512532508,rf,IRM,0.0,linear,1,1.589979887008667
4.087114789176751,0.07353512544215017,3.9429885917115017,4.231240986642001,1,1.0468811836357215,0.9138157687774484,0.9061481451819874,0.9107379143781658,0.9316506853359624,0.9140131688452982,0.9081738705617117,,0.9398314917971721,0.9059996612231689,0.9078727037562769,,0.8973519324030785,,0.007816107554279528,-0.0017245585742895475,1.0556379705207015,0,43,40,362,0.936665440371997,0.898485121754849,9,8,0.5588880760790051,0.24055415617128464,0.4985520615574857,ridge,IRM,0.0,linear,1,1.303083896636963
4.097827901082619,0.1135652177724772,3.875244164352116,4.320411637813122,1,1.0381906262713638,0.8138185059355387,0.7801043129402652,0.8002853198138057,0.8470754808832872,0.8093249379604182,0.7753870652231198,,0.7723633241282708,0.7263897798633936,0.7730654636153453,,0.7080665674219158,,0.08742872607214514,0.007038849324919827,2.4272868185479046,2,56,53,347,0.7674828512013449,0.8388677187797284,21,14,0.5588880760790051,0.24055415617128464,0.49647985774397774,xgboost,IRM,0.0,linear,1,0.7759377956390381
4.0031349514533385,0.14482934326629007,3.7192746547468216,4.286995248159855,1,1.048958255334964,0.6662349102550424,0.7071180487695226,0.6823416578222492,0.7513502896796438,0.6644494101421858,0.7121355408217991,,0.797800502470387,0.6420832090318207,0.7066937052778115,,0.6234810952164918,,0.024151701223221744,0.00042434349171105445,4.79449912005335,0,50,27,359,0.5812132410203008,0.6876863967253601,9,8,0.5493372606774669,0.23356293049467752,0.49679078042843533,lasso_logistic,IRM,0.0,linear,2,1.0956659317016602
4.029012930949745,0.1639369295555125,3.70770245328486,4.350323408614629,1,0.9993656174586351,0.5994836848003497,0.5263468563279989,0.570669937204797,0.6639383212353593,0.5977396599557672,0.5258983543428295,,0.6734347470809698,,0.5257482032217702,,0.46073093878368343,,,0.0005986531062287526,5.693828253604464,0,10,3,371,,,0,0,0.5493372606774669,0.23356293049467752,0.484905974442391,rf,IRM,0.0,linear,2,1.5440330505371094
3.9985311339345286,0.07880752594270436,3.844071221376122,4.152991046492935,1,1.053187995024842,0.915064337808378,0.9047872366463044,0.9110154638678039,0.9303466139734466,0.9165722787828956,0.9049432016734613,,0.9061799442027378,0.9561332695003669,0.9063346721531782,,0.960867126851749,,-0.041068931691988886,-0.001547435506873751,1.1744001119171568,0,53,35,363,0.9580479358956294,0.9631903671950943,6,7,0.5493372606774669,0.23356293049467752,0.4977973139890718,ridge,IRM,0.0,linear,2,1.1894021034240723
4.03679049646998,0.14455518242203005,3.7534675451441832,4.3201134477957766,1,1.0249561526897732,0.7587851604304464,0.6973432521593408,0.7345788655487641,0.7922393986515532,0.7558442769702559,0.6987725852904528,,0.6945269611133822,0.7334410574221493,0.6818387915072595,,0.5732465683201495,,0.025344103008297147,0.015504460652081331,3.388796201340786,3,81,84,312,0.681041772259083,0.7121598005341665,46,20,0.5493372606774669,0.23356293049467752,0.49107598114704015,xgboost,IRM,0.0,linear,2,0.6207320690155029
3.970337297474108,0.14224028403845926,3.69155146360798,4.249123131340236,1,1.0418981017638609,0.8144580673982142,0.7771753354095505,0.8013191176845215,0.827199488919177,0.8101544988835186,0.784191642017239,,0.7900810063147766,0.7888368383588716,0.7781035793680001,,0.726985513755442,,0.025621229039342608,-0.0009282439584495927,4.073871286417048,0,60,38,356,0.7831227766336816,0.8655742426004338,9,9,0.548268238761975,0.23279098873591988,0.4948610316561676,lasso_logistic,IRM,0.0,linear,3,1.2265069484710693
3.895095321558485,0.14723125899685938,3.606527356526152,4.183663286590818,1,1.0193378238656237,0.760417278335929,0.7379128141956852,0.7524863943341296,0.7847277651474996,0.7580338957860773,0.7395172010954001,,0.6696696816854393,0.719292818839784,0.7363926340943718,,0.8135391505662586,,0.04112445949614496,0.0015201801013133842,5.225018196480117,0,9,12,365,,,3,1,0.548268238761975,0.23279098873591988,0.4894684852136317,rf,IRM,0.0,linear,3,1.6125037670135498
