estimate,se,ci_lower,ci_upper,covers,r_d,r_y0,r_y1,r_y_irm_pooled,r_y_combined,r_y0_weighted,r_y1_weighted,r_y0_local,r_y1_local,r_y0_local_05,r_y0_local_08,r_y0_topk,r_y0_local_mse,r_y0_gap,r_y0_ifw_mse,n_local_control,n_local_treated,propensity_rmse,learner,framework,overlap_strength,complexity,seed,elapsed
4.053270621982255,0.1531126385054312,3.753175364933709,4.353365879030801,1,1.0294862266649578,0.5889368195442903,0.6108413637038683,0.5974317798173449,0.6919754619824151,0.5867311472759426,0.6089688830451494,,0.4974797703167589,0.4830932813456181,,0.4570161375801919,,0.10584353819867226,5.068073144391179,0,44,0.4943849449273674,lasso_logistic,IRM,0.0,linear,1,1.1201579570770264
4.065102226363984,0.1149776755536928,3.8397501232526143,4.290454329475353,1,1.0417796358422358,0.8131613491617787,0.7716178832663789,0.797050076093715,0.8441658415985377,0.8121724816528841,0.766865454657333,,0.7407551659051759,0.7620727252275463,,0.7713919741580624,,0.05108862393423241,2.2776042737656037,1,63,0.4973285777310353,xgboost,IRM,0.0,linear,1,0.6037423610687256
4.070707593124517,0.0735580621915053,3.926536440456609,4.214878745792426,1,1.0407638968344062,0.9124668358100214,0.9066769993422644,0.9102214373017136,0.9311949532287798,0.9137583818664478,0.9056563492295772,,0.8851588663973751,0.9272404887033092,,0.9272404887033092,,-0.014773652893287803,1.052054461190028,0,51,0.4970845017096286,ridge,IRM,0.0,linear,1,1.184227705001831
4.05719043385346,0.1355097632874623,3.791596178256486,4.322784689450434,1,1.0137003283575632,0.6822613341862735,0.6264365220724639,0.6606115085746235,0.7395441553034812,0.6815514037061865,0.621522456698288,,0.389178439173346,0.3232383175508221,,0.4844200816051878,,0.35902301663545144,3.886088222085101,0,7,0.4905864150354675,rf,IRM,0.0,linear,1,1.5844290256500244
4.005302561275048,0.144515586197287,3.722057217123672,4.288547905426424,1,1.038997974312308,0.6688882128424132,0.7125021579633646,0.6854039504364384,0.7542693204106268,0.666371123672472,0.7172225452027248,,0.6601556082498241,0.5855807423011179,,0.5795744502853535,,0.08330747054129528,4.852033871839007,0,49,0.4944259994848846,lasso_logistic,IRM,0.0,linear,2,1.175950050354004
4.010497628378945,0.1496514164994721,3.7171862418045767,4.303809014953314,1,1.0288411846256265,0.7439918477512029,0.6955280860543698,0.7256395806314884,0.7846620580225712,0.7425704067396635,0.6868069609841425,0.7514046129014799,0.6302239347175886,0.7122018661009004,,0.758705914768679,2.4605217336292227,0.031789981650302446,3.4793402376300877,6,81,0.49200366032233,xgboost,IRM,0.0,linear,2,0.5919671058654785
4.002809460972887,0.0769902865303632,3.851911272213956,4.1537076497318175,1,1.0606446875473914,0.9185688993432988,0.9141505337925784,0.9168957517794218,0.9348965768298414,0.919943895028686,0.9163681536034995,,0.9274704745209356,0.911314361166421,,0.9141481244889952,,0.007254538176877823,1.1379005859242697,0,58,0.4995499608991783,ridge,IRM,0.0,linear,2,1.0746560096740725
4.004262677460943,0.1656796685289197,3.6795364941737265,4.32898886074816,1,0.9979535975882506,0.5901836954009975,0.5127875096061484,0.5608752920492424,0.6553451610817661,0.5882743858144734,0.5143507998080922,,0.4415491824853492,,,0.5138511330255383,,,5.835182172437423,0,9,0.4845626042152323,rf,IRM,0.0,linear,2,1.6054110527038574
3.935760924245928,0.1463066777268555,3.6490051052035826,4.222516743288273,1,1.0364045953680625,0.8166841200482606,0.777709653360271,0.8019648290757407,0.8286170434368965,0.8140585601121013,0.7818639638368182,,0.8153493652189052,0.7683171524427717,,0.7683171524427717,,0.048366967605488975,4.044048874987524,0,64,0.4935495436231342,lasso_logistic,IRM,0.0,linear,3,1.1944808959960938
3.970715326350665,0.1207849864307935,3.7339811030731496,4.207449549628179,1,1.0408090293848695,0.858194537377181,0.8411871936566115,0.8517714593426106,0.8714533718229432,0.854530229327094,0.847852776490824,,0.8715780006068163,0.8371414406574884,,0.7957545719713754,,0.021053096719692577,3.1707526478738033,1,81,0.4946168163577899,xgboost,IRM,0.0,linear,3,0.5821437835693359
