estimate,se,covers,bias,r_d,r_d_star,inflation,var_D,var_V,var_delta,var_D_tilde,cov_V_delta,decomp_check,learner,overlap_strength,complexity,seed,elapsed
4.051304498465167,0.14491128866852668,1,0.05130449846516694,1.0020903336719544,1.0,0.00023225929688381835,0.23741503259553198,0.23741503259553198,5.514184854028707e-05,0.23791130923239456,0.00022079154801700308,0.23791175754010627,lasso,0.0,linear,1,0.1264350414276123
4.027319170733048,0.10398062853870442,1,0.02731917073304757,1.0342016075764455,1.0,0.033562541303342984,0.23741503259553198,0.23741503259553198,0.007968251837522063,0.24553500837311337,7.593906552766655e-05,0.24553516256410937,xgboost,0.0,linear,1,0.4142460823059082
4.141100962603042,0.14285817718798438,1,0.1411009626030424,1.003070296483205,1.0000000000000002,0.0003411440536893935,0.23528150686696378,0.2352815068669638,8.02648870107449e-05,0.23600389085006057,0.0003213858280714786,0.2360045434101175,lasso,0.0,linear,2,0.12357091903686523
3.862821901809861,0.12176859283255775,1,-0.13717809819013915,1.0313772405744641,1.0000000000000002,0.047596515912325145,0.23528150686696378,0.2352815068669638,0.01119857998546928,0.24266399131065092,-0.0019099868438290208,0.24266011316477504,xgboost,0.0,linear,2,0.4072299003601074
3.9682492513887277,0.1320009755300972,1,-0.03175074861127225,1.001914171446614,1.0000000000000004,0.0002126857162904101,0.23503414156510083,0.2350341415651009,4.998840475147512e-05,0.23548403720786415,0.0002001568239032643,0.2354844436176589,lasso,0.0,linear,3,0.11908292770385742
3.925023301446489,0.10565807949231056,1,-0.07497669855351097,1.0667031382503969,1.0000000000000004,0.04483339402281034,0.23503414156510083,0.2350341415651009,0.010537378277601152,0.2507116564034811,0.0025726801383980425,0.25071688011949816,xgboost,0.0,linear,3,0.39254283905029297
3.905873966481994,0.1374248603509146,1,-0.09412603351800586,1.0046015545348697,1.0000000000000002,0.003980100687931887,0.24228812904223243,0.2422881290422325,0.0009643311490787192,0.2434030310811718,7.536195452882077e-05,0.24340318410036885,lasso,0.0,linear,4,0.11703991889953613
3.997118730070372,0.0755191602941191,1,-0.0028812699296278943,1.0619127580518937,1.0000000000000002,0.0390305452345282,0.24228812904223243,0.2422881290422325,0.009456637780372059,0.25728885535447016,0.0027748613840892335,0.257294489590783,xgboost,0.0,linear,4,0.3920440673828125
4.392792738243899,0.19384245242942982,0,0.39279273824389893,1.0061973618729645,1.0000000000000002,0.0012593213281561738,0.22727099384163466,0.2272709938416347,0.00028620720981602097,0.22867947443369954,0.0005617069519894089,0.22868061495542955,lasso,0.0,linear,5,0.11740398406982422
4.063687072318468,0.11842904120549451,1,0.06368707231846837,1.0226004698884283,1.0000000000000002,0.04633607668204275,0.22727099384163466,0.2272709938416347,0.01053084619825005,0.2324074250944657,-0.0026999485372142863,0.2324019429654562,xgboost,0.0,linear,5,0.3936588764190674
3.957007051179927,0.12652081933775663,1,-0.042992948820073096,1.0038883854423082,1.0000000000000004,0.0006123799181894303,0.23324486588162532,0.23324486588162543,0.00014283447188669437,0.23415181182261258,0.000382444002573141,0.23415258835865843,lasso,0.0,linear,6,0.12470006942749023
4.024151220737669,0.12471222951801894,1,0.024151220737668844,1.0354206721007577,1.0000000000000004,0.036796139842189,0.23324486588162532,0.23324486588162543,0.008582510702452903,0.2415065557952036,-0.0001605734131308759,0.24150622975781658,xgboost,0.0,linear,6,0.4005558490753174
3.9170893804733304,0.08898018067814518,1,-0.08291061952666956,1.0027716251448282,1.0,0.0017060220762017669,0.2345332268288283,0.2345332268288283,0.00040011886257281757,0.23518326501760478,0.0001250866546293383,0.23518351900065979,lasso,0.0,linear,7,0.12282419204711914
3.890889730439913,0.09904073701092453,1,-0.10911026956008696,1.054417992423259,1.0,0.04602711742595016,0.2345332268288283,0.2345332268288283,0.010794888371537486,0.24729605418940195,0.0009849694635165446,0.2472980541273989,xgboost,0.0,linear,7,0.39998793601989746
3.9833828523070767,0.08069742173960343,1,-0.01661714769292333,1.0079668476207646,1.0,0.004535864138256439,0.22877579942796775,0.22877579942796775,0.0010376959443262669,0.23059842136132896,0.00039286183902412534,0.23059921905034225,lasso,0.0,linear,8,0.12943577766418457
3.860170013503232,0.09105850876311836,1,-0.13982998649676803,1.0399410078694356,1.0,0.05022999454215601,0.22877579942796775,0.22877579942796775,0.011491407156644198,0.23791333543325663,-0.0011781316484171622,0.23791094328777762,xgboost,0.0,linear,8,0.39725208282470703
3.8827175220034014,0.16323914558101874,1,-0.11728247799659863,1.0027732223373382,1.0,0.006289529025547126,0.23718621969130876,0.23718621969130876,0.001491789613208284,0.23784398981386554,-0.0004174335357173188,0.23784314223308242,lasso,0.0,linear,9,0.1131281852722168
3.848602980725408,0.09701943503166217,1,-0.15139701927459193,1.0476397839595928,1.0,0.0446760801132443,0.23718621969130876,0.23718621969130876,0.010596550552686474,0.2484857199555952,0.00035183204569411093,0.24848643433538345,xgboost,0.0,linear,9,0.43125009536743164
