estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
3.8327624873928823,0.24188812734402362,3.3586704695107574,4.306854505275007,1,1.0097825618174845,lasso,0.0,linear,1,0.1181190013885498,500
3.6759011695931147,0.15254283896051168,3.3769226991310184,3.974879640055211,0,1.0682541389855318,xgboost,0.0,linear,1,0.4079122543334961,500
3.9868563203158636,0.16169959097779205,3.6699309456845337,4.303781694947194,1,1.0095687337655896,lasso,0.0,linear,2,0.11490201950073242,500
4.056048670395403,0.14766680935286686,3.7666270423518413,4.345470298438965,1,1.0584687573847507,xgboost,0.0,linear,2,0.3952291011810303,500
3.7268117311046924,0.25742635918249535,3.2222653384357303,4.231358123773655,1,1.006360919775862,lasso,0.0,linear,3,0.11612105369567871,500
3.695375874937139,0.14167840220275654,3.417691309232556,3.973060440641722,0,1.0985366590638268,xgboost,0.0,linear,3,0.39275598526000977,500
4.015598594571533,0.14806706585231047,3.7253924782044843,4.305804710938582,1,1.003145818683457,lasso,0.0,linear,4,0.11121010780334473,500
4.01077230431126,0.11571768783484598,3.783969803780713,4.237574804841807,1,1.1044601574799195,xgboost,0.0,linear,4,0.4003880023956299,500
4.021780298522368,0.174086733413762,3.6805765708451696,4.362984026199567,1,1.0144997951278583,lasso,0.0,linear,5,0.11688613891601562,500
3.9263463875159688,0.11200865891258815,3.706813450090664,4.145879324941273,1,1.0798863218149446,xgboost,0.0,linear,5,0.393280029296875,500
4.087826877536178,0.23718267983237606,3.622957367308026,4.552696387764329,1,0.9999565549782151,lasso,0.0,linear,6,0.11600089073181152,500
3.7972966403639745,0.14883031624357193,3.5055945807188666,4.088998700009082,1,1.0534463678447046,xgboost,0.0,linear,6,0.3965590000152588,500
4.258547127846096,0.23256152249080805,3.80273491957431,4.714359336117881,1,1.0256262092668615,lasso,0.0,linear,7,0.11349081993103027,500
4.308360106154358,0.1484115313317276,4.017478849853734,4.599241362454982,0,1.0079999990522086,xgboost,0.0,linear,7,0.3988029956817627,500
