rep,seed,learner,r_d,r_d_oracle,inflation,coverage,estimate,se
5,1005,lasso_logistic,0.1888629929493032,0.15015377993266574,0.03870921301663746,0,7.791732199757485,1.45801263554401
6,1006,xgboost,0.15627942789666635,0.14700320286720295,0.009276225029463403,1,8.269701931643237,3.698580325573844
6,1006,lasso,0.6611869169818573,0.14700320286720295,0.5141837141146544,0,7.884728133219524,1.4657384553928159
6,1006,lasso_logistic,0.1923549353372378,0.14700320286720295,0.04535173247003485,0,10.004169736364181,2.543797582252488
7,1007,xgboost,0.1383795707569475,0.13036547247882005,0.008014098278127463,0,2.959100286722158,0.4383923301978187
7,1007,lasso,0.6598916466798936,0.13036547247882005,0.5295261742010736,1,3.744199362301948,0.23685703125176474
7,1007,lasso_logistic,0.1980511345423815,0.13036547247882005,0.06768566206356144,1,3.8741625863590854,0.48030758668391166
8,1008,xgboost,0.1238793999617716,0.11481142331479818,0.00906797664697341,1,4.288558578167871,0.2733346317744542
8,1008,lasso,0.6500127819871511,0.11481142331479818,0.5352013586723529,0,3.407713292935368,0.12639329019051418
8,1008,lasso_logistic,0.16617233007063165,0.11481142331479818,0.05136090675583346,0,5.331461087073459,0.25375774291865905
9,1009,xgboost,0.12296065695463802,0.13055374290117946,-0.007593085946541442,1,3.0695592196835277,1.2315278957766873
9,1009,lasso,0.6546457425583013,0.13055374290117946,0.5240919996571218,1,4.443076713488348,0.4730167669356282
9,1009,lasso_logistic,0.19652012114769474,0.13055374290117946,0.06596637824651527,1,5.323049437882899,0.8392887465263169
10,1010,xgboost,0.14775029660986566,0.13549535055561907,0.012254946054246596,1,3.421479177410415,0.9778691472268157
10,1010,lasso,0.6668650880208357,0.13549535055561907,0.5313697374652167,1,3.803275813563655,0.3523926208228396
10,1010,lasso_logistic,0.19178613280850035,0.13549535055561907,0.05629078225288128,1,5.016147313752665,0.6991889114337366
11,1011,xgboost,0.16239153913314458,0.14132541890760994,0.02106612022553464,0,3.4121211317957347,0.17766971606991291
11,1011,lasso,0.6595075883833282,0.14132541890760994,0.5181821694757183,0,2.7567617483738225,0.09749488748755965
11,1011,lasso_logistic,0.19421724077715993,0.14132541890760994,0.05289182186954999,1,4.1391630284782845,0.22614791340009108
12,1012,xgboost,0.1343206880766787,0.12435219512929606,0.009968492947382654,1,4.180077335849434,0.34248194905976564
