estimate,se,ci_lower,ci_upper,covers,r_d,r_y,outcome_rmse,outcome_resid_std,propensity_rmse,learner,overlap_strength,complexity,seed,elapsed
4.051888194777952,0.143536839112413,3.770561159662902,4.333215229893002,1,1.0068942135582934,0.4695311784465154,2.9531629140826627,2.9531483270633103,0.48892926828985983,lasso,0.0,linear,1,0.13987469673156738
3.9920493758316544,0.10469646326229297,3.7868480785288394,4.197250673134469,1,1.0439613689841503,0.6072318685409495,2.5411224648865143,2.541122443618712,0.4978483920813117,xgboost,0.0,linear,1,0.4147000312805176
3.9654144792059176,0.14152027962058494,3.6880398280675335,4.242789130344302,1,1.0490840899139762,0.46729038546199353,2.959393679116143,2.9593902392199523,0.4990693466393277,lasso_logistic,0.0,linear,1,1.0163469314575195
4.148383677174608,0.14257717358566804,3.868937551929183,4.427829802420033,1,1.0044748462387638,0.5210099177435765,2.9595954916562652,2.95958874327609,0.4861423201419705,lasso,0.0,linear,2,0.18392300605773926
3.8509179029868403,0.12704748062932056,3.6019094166268215,4.099926389346859,1,1.0181265538746842,0.6038351477280686,2.691578605944707,2.691546077542651,0.4894365962293379,xgboost,0.0,linear,2,0.4221651554107666
3.94730902289775,0.1448789477636981,3.6633515031628425,4.231266542632658,1,1.0478006258136394,0.5201680661719346,2.9621951762994545,2.9621951308054473,0.4965165003736571,lasso_logistic,0.0,linear,2,1.0048167705535889
3.9681903659852305,0.13234252397564047,3.708803785369846,4.227576946600615,1,1.0030981950218387,0.6709918498591185,2.8085151212038024,2.808508804443467,0.4855536254343695,lasso,0.0,linear,3,0.1294701099395752
3.9679422949576098,0.1081770861828826,3.755919102086674,4.179965487828546,1,1.0407245500599314,0.7180890361036787,2.5997370380731537,2.599584820425744,0.4945765607068579,xgboost,0.0,linear,3,0.40914416313171387
3.8063119641633243,0.13247330346819827,3.5466690604526105,4.065954867874038,1,1.0497214762822098,0.6705983116860361,2.8101943008798886,2.81019147203463,0.4967120986196392,lasso_logistic,0.0,linear,3,1.419996976852417
3.919867629180052,0.1375162578084595,3.6503407165867463,4.189394541773358,1,1.0076098105160176,0.355037457886628,2.8971974025962766,2.8971827749816264,0.49409921865637796,lasso,0.0,linear,4,0.12795209884643555
4.024079948581609,0.07725073112076951,3.872671297805514,4.1754885993577044,1,1.0510666404770634,0.5699056888810747,2.3658798746951866,2.3658655071196124,0.5046576382915999,xgboost,0.0,linear,4,0.4168379306793213
3.9525661836122463,0.1349452499327454,3.688078353859309,4.217054013365184,1,1.014625790818592,0.35904451624443734,2.888183447391568,2.8881830815767726,0.4958178229939626,lasso_logistic,0.0,linear,4,1.5545501708984375
4.354908701116614,0.19272010412119575,3.977184237942261,4.7326331642909665,1,1.0008817662338967,0.45347564109056226,3.604524567591956,3.604524567467286,0.4769396402097753,lasso,0.0,linear,5,0.13159680366516113
4.126865432328763,0.11431987867668009,3.902802587405481,4.350928277252044,1,1.019813079723535,0.7066075809445843,2.640995566552014,2.640939806777286,0.4814292058257237,xgboost,0.0,linear,5,0.419924259185791
4.003352840434293,0.19735720745163507,3.6165398217396887,4.390165859128898,1,1.0347431048402562,0.45058908234383355,3.6140309778846165,3.614030977585782,0.48494120733003654,lasso_logistic,0.0,linear,5,1.3814551830291748
3.95675421788481,0.12668828816823188,3.7084497358120436,4.2050586999575765,1,1.0066020919120606,0.6742796664074195,2.6947166171722525,2.6947154899652634,0.4845459946592202,lasso,0.0,linear,6,0.13079404830932617
3.996741864886231,0.12206107516751831,3.7575065536436587,4.235977176128804,1,1.0508786212716477,0.6594429213959412,2.755406133878893,2.755392187897171,0.4950897209814845,xgboost,0.0,linear,6,0.398040771484375
3.894503187210381,0.12461900631617702,3.650254423041505,4.138751951379257,1,1.0284748457325505,0.6740493097581779,2.6956693304573216,2.695653024441722,0.48978298189025915,lasso_logistic,0.0,linear,6,1.5529849529266357
3.9110435966507393,0.09346327903348678,3.727858935868088,4.094228257433391,1,1.0185746172886057,0.6738822711368344,2.38861646726292,2.3884830402766464,0.48876385776430487,lasso,0.0,linear,7,0.13875412940979004
3.9087939518029997,0.101186237332826,3.710472570899538,4.107115332706461,1,1.0495323679589212,0.6426316027393226,2.500444904678333,2.5003597161351765,0.49613960174422855,xgboost,0.0,linear,7,0.4556889533996582
3.958850015348154,0.08482236591702326,3.7926012330673102,4.125098797628998,1,1.034473159957289,0.6883059533407512,2.3351967154307722,2.3351640773154925,0.4925643143260124,lasso_logistic,0.0,linear,7,2.7341160774230957
3.979680208557843,0.08134395177588616,3.8202489927169436,4.139111424398743,1,1.0059141254400903,0.7918969518935565,2.2788212193079374,2.2788196369464235,0.47971840943745664,lasso,0.0,linear,8,0.17212700843811035
3.8076973708618977,0.0900166340036215,3.631268010205276,3.9841267315185194,0,1.0324075847069323,0.787119974598605,2.304827837771424,2.3048274057249243,0.48599437874610446,xgboost,0.0,linear,8,0.503593921661377
3.909265806823189,0.08152450864890412,3.749480706014013,4.0690509076323655,1,1.039004076970244,0.7910268823382721,2.2835800752556317,2.2835650455226624,0.4875443309465533,lasso_logistic,0.0,linear,8,1.8402338027954102
3.8614668388326105,0.1638085953195637,3.540407891648169,4.1825257860170515,1,0.9991647957422956,0.6153833844681885,3.1363580553307937,3.1363567138499584,0.48681477130069983,lasso,0.0,linear,9,0.17011618614196777
3.8856483384175564,0.09980624923529319,3.6900316844843535,4.081264992350759,1,1.0261874232545287,0.7591704877939794,2.4817982223198096,2.4817296169234337,0.4933748174186638,xgboost,0.0,linear,9,0.5782210826873779
3.873613985933832,0.1599753420195453,3.5600680771610462,4.1871598947066175,1,1.030540688944128,0.6157176446745791,3.134994895858414,3.1349942573182354,0.49441840272576226,lasso_logistic,0.0,linear,9,1.6841070652008057
3.925639093751812,0.07401236672876883,3.7805775205528542,4.07070066695077,1,1.000632067208154,0.6982931581379099,2.188450549713993,2.1884449177909993,0.48283358335549065,lasso,0.0,linear,10,0.14482808113098145
3.9164351748380715,0.07230613302058524,3.774717758256362,4.058152591419781,1,1.0257498753103826,0.6900974180941204,2.2179755560742853,2.2179506379985,0.48885621005273344,xgboost,0.0,linear,10,0.3958699703216553
3.9345867596775017,0.06782005290111712,3.8016618985617114,4.067511620793292,1,1.0194786861458203,0.7033013315858425,2.1702109823675357,2.1702035071082806,0.4873600945067808,lasso_logistic,0.0,linear,10,1.6699469089508057
4.333602963633224,0.20768523422267648,3.926547384436012,4.7406585428304355,1,1.0043892313174994,0.3943631075950972,3.7068238093035495,3.706816667796215,0.47777915651117464,lasso,0.0,linear,11,0.12795114517211914
4.104732614708534,0.11570889405790354,3.8779473496640824,4.331517879752986,1,1.0422572618725403,0.6932594674693648,2.6380399388289706,2.638021633057333,0.48670137757979204,xgboost,0.0,linear,11,0.35616183280944824
3.8948611908713677,0.20921399208841973,3.484809301316217,4.304913080426518,1,1.0266929331995482,0.3963861671351909,3.700627523760855,3.7006270416566593,0.4830505512270118,lasso_logistic,0.0,linear,11,1.4419949054718018
4.150227290256956,0.17380094276969535,3.8095837019492462,4.4908708785646665,1,1.004815010542543,0.669447608093781,3.3374158987853724,3.3374158179591578,0.4906572343498852,lasso,0.0,linear,12,0.13940811157226562
3.959629859755327,0.10126745623104898,3.761149292736485,4.158110426774169,1,1.0363487252485621,0.8095840494314912,2.533038793186874,2.5325883648602625,0.4982959290504765,xgboost,0.0,linear,12,0.42594099044799805
3.902737214006965,0.17475862475976164,3.5602166034900824,4.245257824523848,1,1.0180321155319887,0.6702121947146273,3.3335538471133734,3.333553574907927,0.49388126378109476,lasso_logistic,0.0,linear,12,1.5367178916931152
4.255474597831264,0.13679446314433077,3.987362376783884,4.523586818878644,1,1.000688291563209,0.5617936859403896,2.9064767861584793,2.9064723623255855,0.4805775736527581,lasso,0.0,linear,13,0.13405799865722656
4.056235149560958,0.13202155737945265,3.7974776519143436,4.314992647207573,1,1.049097577004472,0.5811164416860797,2.841673649906546,2.841634623568141,0.49206484518684884,xgboost,0.0,linear,13,0.44582319259643555
3.9648364388159876,0.13956126938705832,3.691301377180661,4.238371500451314,1,1.041365782107141,0.5647403737898796,2.896688102175175,2.8966880582447483,0.49025434838842136,lasso_logistic,0.0,linear,13,1.581512212753296
4.014230870511923,0.11107070137430236,3.7965362960806868,4.23192544494316,1,1.0046546626735535,0.1154019756001543,2.6013903251300867,2.6013880988021305,0.49337233880344733,lasso,0.0,linear,14,0.13843607902526855
4.010603024103534,0.0767378926785911,3.8601995182039954,4.161006530003073,1,1.0341017949792943,0.2863900932702369,2.3364848718830196,2.3364741434839646,0.5005521502897585,xgboost,0.0,linear,14,0.4114980697631836
3.9302767884181247,0.11040209688528067,3.713892654705273,4.146660922130977,1,1.0372574007538418,0.11246158876164958,2.605710224024872,2.605710220525366,0.5013162674660938,lasso_logistic,0.0,linear,14,1.1657962799072266
3.898975490657758,0.22062839541079848,3.466551781685731,4.331399199629785,1,1.0060443862251123,0.5548129625866369,3.901393276582831,3.9013856038902466,0.48522106951239974,lasso,0.0,linear,15,0.1434309482574463
